title,console,console_developer,n_platforms,genre,release_year,publisher,developer,critic_score,total_sale,na_sale,pal_sale,japan_sale,other_sale
Grand Theft Auto IV,Xbox 360,Microsoft,3,action,2008,Rockstar Games,Rockstar North,10,11.09,6.8,3.11,0.14,1.04
Grand Theft Auto V,Xbox One,Microsoft,5,action,2014,Rockstar Games,Rockstar North,9,8.72,4.7,3.25,0.01,0.76
Red Dead Redemption,Xbox 360,Microsoft,2,action,2010,Rockstar Games,Rockstar San Diego,9.5,6.5,3.77,2.03,0.09,0.6
LEGO Star Wars: The Complete Saga,Wii,Nintendo,4,action,2007,LucasArts,Traveller's Tales,8,5.66,3.57,1.57,0,0.52
Assassin's Creed,Xbox 360,Microsoft,3,action,2007,Ubisoft,Ubisoft Montreal,8.2,5.55,3.28,1.64,0.07,0.56
Assassin's Creed II,Xbox 360,Microsoft,3,action,2009,Ubisoft,Ubisoft Montreal,9.1,5.3,3.14,1.55,0.08,0.52
LEGO Star Wars: The Complete Saga,DS,Nintendo,4,action,2007,LucasArts,Traveller's Tales,7.8,4.77,2.83,1.49,0,0.45
Batman: Arkham City,Xbox 360,Microsoft,3,action,2011,Warner Bros. Interactive,Rocksteady Studios,9.5,4.75,2.99,1.28,0.04,0.44
Assassin's Creed: Revelations,Xbox 360,Microsoft,3,action,2011,Ubisoft,Ubisoft Montreal,7.9,4.22,2.28,1.47,0.04,0.44
Luigi's Mansion,GameCube,Nintendo,2,action,2001,Nintendo,Nintendo EAD,7.9,3.6,2.38,0.67,0.46,0.1
Monster Hunter Generations,3DS,Nintendo,1,action,2016,Capcom,Capcom,8.8,3.56,0.42,0.26,2.82,0.07
Batman: Arkham Asylum,Xbox 360,Microsoft,3,action,2009,Eidos Interactive,Rocksteady Studios,9.1,3.54,2.24,0.95,0.02,0.33
Assassin's Creed: Brotherhood,Xbox 360,Microsoft,3,action,2010,Ubisoft,Ubisoft Montreal,9.1,3.53,2.87,0.39,0.03,0.25
Resident Evil 5,Xbox 360,Microsoft,5,action,2009,Capcom,Capcom,8.6,3.53,2.13,0.93,0.12,0.34
Saints Row 2,Xbox 360,Microsoft,3,action,2008,THQ,Volition Inc.,7.9,3.07,1.98,0.79,0.02,0.28
Tom Clancy's Splinter Cell,Xbox,Microsoft,5,action,2002,Ubisoft,Ubisoft,9.3,3.02,1.85,1.04,0,0.13
Skylanders: Spyro's Adventure,Wii,Nintendo,4,action,2011,Activision,Toys for Bob,8,2.79,1.35,1.15,0,0.3
Star Wars: The Force Unleashed,Xbox 360,Microsoft,6,action,2008,LucasArts,LucasArts,7.1,2.77,1.74,0.78,0,0.26
Saints Row: The Third,Xbox 360,Microsoft,3,action,2011,THQ,Volition Inc.,8.3,2.77,1.26,1.14,0.07,0.3
Hannah Montana,DS,Nintendo,1,action,2006,Buena Vista,DC Studios,6.5,2.65,1.59,0.8,0,0.26
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,Xbox,Microsoft,2,action,2003,Rockstar Games,Rockstar North,9.8,2.49,1.84,0.56,0,0.09
New Super Luigi U,Wii U,Nintendo,1,action,2013,Nintendo,Nintendo,7.8,2.42,1.25,0.75,0.22,0.2
Dead Island,Xbox 360,Microsoft,3,action,2011,Deep Silver,Techland,7,2.38,1.48,0.7,0,0.21
Assassin's Creed IV: Black Flag,Xbox One,Microsoft,6,action,2013,Ubisoft,Ubisoft Montreal,8.3,2.32,1.51,0.59,0,0.22
Saints Row,Xbox 360,Microsoft,1,action,2006,THQ,Volition Inc.,8,2.18,1.17,0.77,0.02,0.22
Dead Rising,Xbox 360,Microsoft,1,action,2006,Capcom,Capcom Production Studio 1,8.4,2.09,1.16,0.65,0.08,0.2
The Incredibles,Game Boy Advance,Nintendo,3,action,2004,THQ,Helixe,5.4,2.06,1.15,0.77,0.04,0.1
