title,console,publisher,developer,critic_score,user_score,total_sale,na_sale,pal_sale,japan_sale,other_sale,release_date
The Legend of Zelda: Ocarina of Time    ,N64,Nintendo  ,Nintendo EAD  ,9.9  ,10.0  ,7.60m,4.10m,1.89m,1.45m,0.16m,23rd Nov 98  
The Legend of Zelda: Twilight Princess    ,Wii,Nintendo  ,Nintendo EAD  ,9.5  ,9.6  ,7.18m,3.74m,2.16m,0.60m,0.69m,19th Nov 06  
The Legend of Zelda    ,NES,Nintendo  ,Nintendo EAD  ,N/A  ,N/A  ,6.51m,3.74m,0.93m,1.69m,0.14m,22nd Aug 87  
Luigi's Mansion: Dark Moon    ,3DS,Nintendo  ,Next Level Games  ,8.6  ,N/A  ,5.44m,2.03m,1.88m,1.17m,0.36m,24th Mar 13  
Tomb Raider II    ,PS,Eidos Interactive  ,Core Design Ltd.  ,7.6  ,N/A  ,5.24m,2.30m,2.46m,0.20m,0.28m,31st Oct 97  
Professor Layton and the Curious Village    ,DS,Nintendo  ,Level 5  ,8.7  ,N/A  ,5.20m,1.21m,2.44m,1.03m,0.51m,10th Feb 08  
The Legend of Zelda: Phantom Hourglass    ,DS,Nintendo  ,Nintendo EAD  ,9.1  ,N/A  ,5.09m,1.85m,1.80m,0.95m,0.48m,02nd Oct 07  
The Legend of Zelda: A Link to the Past    ,SNES,Nintendo  ,Nintendo EAD  ,10.0  ,N/A  ,4.61m,2.42m,0.91m,1.15m,0.13m,13th Apr 92  
The Legend of Zelda: The Wind Waker    ,GC,Nintendo  ,Nintendo EAD  ,9.6  ,N/A  ,4.60m,2.60m,0.99m,0.89m,0.13m,26th Mar 03  
Zelda II: The Adventure of Link    ,NES,Nintendo  ,Nintendo EAD  ,N/A  ,N/A  ,4.38m,2.19m,0.50m,1.61m,0.08m,01st Sep 88  
The Legend of Zelda: Skyward Sword    ,Wii,Nintendo  ,Nintendo EAD  ,9.4  ,N/A  ,3.96m,2.03m,1.18m,0.37m,0.39m,20th Nov 11  
Professor Layton and the Diabolical Box    ,DS,Nintendo  ,Level 5  ,8.5  ,N/A  ,3.95m,0.90m,1.76m,0.92m,0.37m,24th Aug 09  
The Legend of Zelda: Link's Awakening    ,GB,Nintendo  ,Nintendo EAD  ,N/A  ,N/A  ,3.83m,2.21m,0.96m,0.54m,0.13m,01st Aug 93  
LEGO Indiana Jones: The Original Adventures    ,X360,LucasArts  ,Traveller's Tales  ,7.5  ,N/A  ,3.76m,2.40m,1.01m,N/A,0.36m,03rd Jun 08  
The Legend of Zelda: A Link Between Worlds    ,3DS,Nintendo  ,Nintendo EAD  ,9.3  ,N/A  ,3.57m,1.53m,1.31m,0.47m,0.26m,22nd Nov 13  
Tomb Raider III: Adventures of Lara Croft    ,PS,Eidos Interactive  ,Core Design Ltd.  ,8.2  ,N/A  ,3.54m,1.66m,1.58m,0.12m,0.18m,21st Nov 98  
LEGO Batman: The Videogame    ,X360,Warner Bros. Interactive  ,Traveller's Tales  ,7.5  ,N/A  ,3.44m,2.07m,1.04m,N/A,0.34m,23rd Sep 08  
The Legend of Zelda: Majora's Mask    ,N64,Nintendo  ,Nintendo EAD  ,9.3  ,N/A  ,3.36m,1.90m,0.67m,0.73m,0.06m,25th Oct 00  
Rugrats: Search For Reptar    ,PS,THQ  ,n-Space  ,N/A  ,N/A  ,3.34m,1.63m,1.53m,N/A,0.18m,31st Oct 98  
The Legend of Zelda: Spirit Tracks    ,DS,Nintendo  ,Nintendo EAD  ,8.7  ,N/A  ,3.32m,1.40m,0.92m,0.74m,0.26m,07th Dec 09  
Professor Layton and the Unwound Future    ,DS,Nintendo  ,Level 5  ,8.4  ,N/A  ,3.28m,0.61m,1.58m,0.82m,0.27m,12th Sep 10  
L.A. Noire    ,PS3,Rockstar Games  ,Team Bondi  ,9.1  ,N/A  ,3.21m,1.29m,1.31m,0.12m,0.49m,15th Nov 11  
Club Penguin: Elite Penguin Force    ,DS,Disney Interactive Studios  ,1st Playable Productions  ,7.0  ,N/A  ,3.14m,1.87m,0.97m,N/A,0.30m,25th Nov 08  
LEGO Batman: The Videogame    ,Wii,Warner Bros. Interactive  ,Traveller's Tales  ,7.3  ,N/A  ,3.08m,1.80m,0.98m,N/A,0.29m,23rd Sep 08  
Heavy Rain    ,PS3,Sony Computer Entertainment  ,Quantic Dream  ,8.8  ,8.6  ,3.06m,1.29m,1.24m,0.06m,0.48m,23rd Feb 10  
LEGO Batman: The Videogame    ,DS,Warner Bros. Interactive  ,Traveller's Tales  ,7.8  ,N/A  ,3.06m,1.75m,1.02m,N/A,0.29m,23rd Sep 08  
Myst    ,PC,Broderbund  ,Cyan Worlds  ,8.9  ,N/A  ,2.81m,0.02m,2.79m,N/A,N/A,01st Jan 95  
L.A. Noire    ,X360,Rockstar Games  ,Team Bondi  ,9.1  ,N/A  ,2.73m,1.55m,0.92m,0.02m,0.24m,15th Nov 11  
Metroid    ,NES,Nintendo  ,Nintendo R&D1  ,N/A  ,N/A  ,2.73m,1.33m,0.31m,1.04m,0.05m,15th Aug 87  
