title,console,publisher,developer,critic_score,user_score,total_sale,na_sale,pal_sale,japan_sale,other_sale,release_date
Wii Play    ,Wii,Nintendo  ,Nintendo EAD  ,5.9  ,4.5  ,28.92m,13.96m,9.18m,2.93m,2.85m,12th Feb 07  
Brain Age: Train Your Brain in Minutes a Day    ,DS,Nintendo  ,Nintendo SDD  ,8.1  ,N/A  ,20.16m,4.74m,9.21m,4.16m,2.04m,17th Apr 06  
Brain Age 2: More Training in Minutes a Day    ,DS,Nintendo  ,Nintendo SDD  ,8.0  ,N/A  ,15.29m,3.43m,5.36m,5.32m,1.18m,20th Aug 07  
Just Dance 3    ,Wii,Ubisoft  ,Ubisoft Paris  ,7.5  ,N/A  ,10.14m,5.95m,3.13m,N/A,1.06m,07th Oct 11  
Minecraft    ,X360,Microsoft Studios  ,Mojang  ,N/A  ,N/A  ,9.82m,5.96m,2.94m,0.02m,0.90m,04th Jun 13  
Just Dance 2    ,Wii,Ubisoft  ,Ubisoft Paris  ,7.3  ,N/A  ,9.45m,5.80m,2.86m,0.01m,0.77m,12th Oct 10  
Mario Party DS    ,DS,Nintendo  ,Hudson Soft  ,7.1  ,N/A  ,8.93m,4.40m,1.86m,1.98m,0.69m,19th Nov 07  
Wii Party    ,Wii,Nintendo  ,"Nd Cube Co., Ltd.  ",7.0  ,N/A  ,8.41m,1.75m,3.51m,2.49m,0.66m,03rd Oct 10  
Mario Party 8    ,Wii,Nintendo  ,Hudson Soft  ,6.5  ,N/A  ,8.30m,3.74m,2.27m,1.58m,0.70m,29th May 07  
Just Dance    ,Wii,Ubisoft  ,Ubisoft Paris  ,5.4  ,N/A  ,7.21m,3.48m,2.99m,N/A,0.73m,17th Nov 09  
Big Brain Academy    ,DS,Nintendo  ,Nintendo EAD  ,7.7  ,N/A  ,6.63m,1.66m,2.75m,1.60m,0.62m,05th Jun 06  
Minecraft    ,PS4,Sony Computer Entertainment  ,Mojang  ,9.4  ,N/A  ,6.33m,1.89m,3.13m,0.35m,0.96m,07th Oct 14  
Minecraft    ,PS3,Sony Computer Entertainment America  ,Mojang  ,N/A  ,N/A  ,6.05m,2.21m,2.86m,N/A,0.99m,16th May 14  
Minecraft    ,XOne,Microsoft Studios  ,Mojang  ,N/A  ,N/A  ,5.43m,3.23m,1.71m,N/A,0.49m,18th Nov 14  
