title,console,publisher,developer,total_sale,na_sale,pal_sale,japan_sale,other_sale,release_date
Pokémon Stadium    ,N64,Nintendo  ,HAL Laboratory  ,5.45m,3.18m,1.24m,0.94m,0.09m,06th Mar 00  
Warzone 2100    ,PS,Eidos Interactive  ,Pumpkin Studios  ,5.01m,2.79m,1.89m,N/A,0.33m,31st May 99  
StarCraft II: Wings of Liberty    ,PC,Blizzard Entertainment  ,Blizzard Entertainment  ,4.86m,2.60m,1.70m,N/A,0.56m,27th Jul 10  
Warcraft II: Tides of Darkness    ,PC,Blizzard Entertainment  ,Blizzard Entertainment  ,4.21m,1.70m,2.27m,N/A,0.23m,30th Apr 96  
Pokémon Trading Card Game    ,GB,Nintendo  ,Hudson Soft  ,3.70m,1.49m,0.73m,1.38m,0.10m,10th Apr 00  
Command & Conquer: Red Alert    ,PC,Virgin Interactive  ,Westwood Studios  ,2.85m,1.37m,1.34m,N/A,0.14m,01st Nov 96  
Pokémon Stadium 2    ,N64,Nintendo  ,HAL Laboratory  ,2.73m,1.02m,0.36m,1.13m,0.23m,28th Mar 01  
Halo Wars    ,X360,Microsoft Game Studios  ,Ensemble Studios  ,2.67m,1.58m,0.80m,0.04m,0.25m,03rd Mar 09  
Mario + Rabbids: Kingdom Battle    ,NS,Ubisoft  ,Ubisoft Milan  ,2.59m,1.10m,1.08m,0.22m,0.20m,29th Aug 17  
Theme Hospital    ,PC,Electronic Arts  ,Bullfrog Productions  ,2.40m,2.30m,0.10m,N/A,N/A,31st Mar 97  
Sim Theme Park    ,PC,Electronic Arts  ,Bullfrog Productions  ,2.08m,2.04m,0.04m,N/A,N/A,31st Oct 99  
Warcraft: Orcs & Humans    ,PC,Blizzard Entertainment  ,Blizzard Entertainment  ,2.08m,0.89m,1.08m,N/A,0.11m,15th Jan 94  
Yu-Gi-Oh! The Eternal Duelist Soul    ,GBA,Konami  ,Konami Computer Entertainment Japan  ,2.07m,1.64m,0.36m,N/A,0.07m,15th Oct 02  
Sid Meier's Civilization V    ,PC,2K Games  ,Firaxis Games  ,1.70m,1.00m,0.53m,N/A,0.17m,21st Sep 10  
StarCraft II: Heart of the Swarm    ,PC,Blizzard Entertainment  ,Blizzard Entertainment  ,1.67m,0.85m,0.68m,N/A,0.14m,12th Mar 13  
Pikmin    ,GC,Nintendo  ,Nintendo EAD  ,1.63m,0.78m,0.25m,0.56m,0.04m,03rd Dec 01  
