title,console,publisher,developer,total_sale,na_sale,pal_sale,japan_sale,other_sale,release_date
Grand Theft Auto: San Andreas    ,PS2,Rockstar Games  ,Rockstar North  ,20.81m,9.43m,0.40m,0.41m,10.57m,26th Oct 04  
Grand Theft Auto V    ,PS3,Rockstar Games  ,Rockstar North  ,20.32m,6.37m,9.85m,0.99m,3.12m,17th Sep 13  
Grand Theft Auto V    ,PS4,Rockstar Games  ,Rockstar North  ,19.39m,6.06m,9.71m,0.60m,3.02m,18th Nov 14  
Grand Theft Auto: Vice City    ,PS2,Rockstar Games  ,Rockstar North  ,16.15m,8.41m,5.49m,0.47m,1.78m,28th Oct 02  
Grand Theft Auto V    ,X360,Rockstar Games  ,Rockstar North  ,15.86m,9.06m,5.33m,0.06m,1.42m,17th Sep 13  
Grand Theft Auto III    ,PS2,Rockstar Games  ,DMA Design  ,13.10m,6.99m,4.51m,0.30m,1.30m,23rd Oct 01  
Grand Theft Auto IV    ,X360,Rockstar Games  ,Rockstar North  ,11.09m,6.80m,3.11m,0.14m,1.04m,29th Apr 08  
Grand Theft Auto IV    ,PS3,Rockstar Games  ,Rockstar North  ,10.57m,4.79m,3.73m,0.44m,1.62m,29th Apr 08  
Uncharted 4: A Thief's End    ,PS4,Sony Interactive Entertainment  ,Naughty Dog  ,10.33m,4.49m,3.93m,0.21m,1.70m,10th May 16  
Grand Theft Auto V    ,XOne,Rockstar Games  ,Rockstar North  ,8.72m,4.70m,3.25m,0.01m,0.76m,18th Nov 14  
Grand Theft Auto: Liberty City Stories    ,PSP,Rockstar Games  ,Rockstar Leeds  ,7.72m,2.90m,2.83m,0.24m,1.74m,25th Oct 05  
Uncharted 3: Drake's Deception    ,PS3,Sony Computer Entertainment  ,Naughty Dog  ,6.84m,2.77m,2.81m,0.19m,1.06m,01st Nov 11  
Uncharted 2: Among Thieves    ,PS3,Sony Computer Entertainment  ,Naughty Dog  ,6.74m,3.28m,2.22m,0.21m,1.02m,13th Oct 09  
Red Dead Redemption    ,PS3,Rockstar Games  ,Rockstar San Diego  ,6.57m,2.82m,2.58m,0.17m,1.00m,11th Oct 11  
Red Dead Redemption    ,X360,Rockstar Games  ,Rockstar San Diego  ,6.50m,3.77m,2.03m,0.09m,0.60m,18th May 10  
Driver    ,PS,GT Interactive  ,Reflections Interactive  ,6.27m,3.11m,2.80m,0.02m,0.33m,30th Jun 99  
God of War (2018)    ,PS4,Sony Interactive Entertainment  ,SIE Santa Monica Studio  ,6.15m,2.83m,2.17m,0.13m,1.02m,20th Apr 18  
Metal Gear Solid 2: Sons of Liberty    ,PS2,Konami  ,Konami Computer Entertainment Japan  ,6.05m,2.45m,2.01m,0.87m,0.72m,12th Nov 01  
Metal Gear Solid    ,PS,Konami  ,Konami Computer Entertainment Japan  ,6.03m,3.18m,1.83m,0.78m,0.24m,21st Oct 98  
Metal Gear Solid 4: Guns of the Patriots    ,PS3,Konami  ,Kojima Productions  ,6.00m,2.63m,1.72m,0.83m,0.81m,12th Jun 08  
Resident Evil 2    ,PS,Capcom  ,Capcom  ,5.82m,1.88m,1.47m,2.02m,0.45m,21st Jan 98  
Uncharted: The Nathan Drake Collection    ,PS4,Sony Computer Entertainment  ,Bluepoint Games  ,5.70m,2.55m,2.11m,0.10m,0.94m,07th Oct 15  
LEGO Star Wars: The Complete Saga    ,Wii,LucasArts  ,Traveller's Tales  ,5.66m,3.57m,1.57m,N/A,0.52m,06th Nov 07  
Assassin's Creed II    ,PS3,Ubisoft  ,Ubisoft Montreal  ,5.57m,2.54m,1.95m,0.21m,0.86m,17th Nov 09  
Assassin's Creed    ,X360,Ubisoft  ,Ubisoft Montreal  ,5.55m,3.28m,1.64m,0.07m,0.56m,13th Nov 07  
Batman: Arkham City    ,PS3,Warner Bros. Interactive  ,Rocksteady Studios  ,5.54m,2.72m,1.89m,0.11m,0.82m,18th Oct 11  
Assassin's Creed II    ,X360,Ubisoft  ,Ubisoft Montreal  ,5.30m,3.14m,1.55m,0.08m,0.52m,17th Nov 09  
Resident Evil 5    ,PS3,Capcom  ,Capcom  ,5.10m,1.96m,1.42m,1.08m,0.64m,13th Mar 09  
Grand Theft Auto: Vice City Stories    ,PSP,Rockstar Games  ,Rockstar Leeds  ,5.08m,1.70m,2.03m,0.16m,1.19m,31st Oct 06  
Resident Evil    ,PS,Capcom  ,Capcom  ,5.05m,2.05m,1.16m,1.11m,0.73m,30th Mar 96  
Uncharted: Drake's Fortune    ,PS3,Sony Computer Entertainment  ,Naughty Dog  ,4.97m,2.32m,1.73m,0.12m,0.80m,16th Nov 07  
Assassin's Creed    ,PS3,Ubisoft  ,Ubisoft Montreal  ,4.83m,1.91m,2.01m,0.09m,0.82m,13th Nov 07  
God of War III    ,PS3,Sony Computer Entertainment  ,SCEA Santa Monica Studio  ,4.81m,2.74m,1.36m,0.12m,0.60m,16th Mar 10  
LEGO Star Wars: The Complete Saga    ,DS,LucasArts  ,Traveller's Tales  ,4.77m,2.83m,1.49m,N/A,0.45m,06th Nov 07  
Batman: Arkham City    ,X360,Warner Bros. Interactive  ,Rocksteady Studios  ,4.75m,2.99m,1.28m,0.04m,0.44m,18th Oct 11  
Driver 2    ,PS,Atari  ,Reflections Interactive  ,4.73m,2.36m,2.10m,0.02m,0.25m,13th Nov 00  
Monster Hunter: World    ,PS4,Capcom  ,Capcom  ,4.67m,1.03m,1.06m,2.17m,0.42m,26th Jan 18  
The Lord of the Rings: The Two Towers    ,PS2,Electronic Arts  ,Stormfront Studios  ,4.67m,1.94m,1.95m,0.08m,0.70m,21st Oct 02  
Tomb Raider    ,PS,Eidos Interactive  ,Core Design Ltd.  ,4.63m,2.29m,1.97m,0.13m,0.24m,14th Nov 96  
Spider-Man: The Movie    ,PS2,Activision  ,Treyarch  ,4.48m,2.71m,1.51m,0.03m,0.23m,15th Apr 02  
God of War    ,PS2,Sony Computer Entertainment  ,SCEA Santa Monica Studio  ,4.45m,2.71m,1.29m,0.02m,0.43m,22nd Mar 05  
Batman: Arkham Asylum    ,PS3,Eidos Interactive  ,Rocksteady Studios  ,4.28m,2.26m,1.33m,0.07m,0.63m,25th Aug 09  
Assassin's Creed: Revelations    ,PS3,Ubisoft  ,Ubisoft Montreal  ,4.23m,1.41m,2.03m,0.10m,0.69m,15th Nov 11  
Metal Gear Solid 3: Snake Eater    ,PS2,Konami  ,KCEJ / Kojima Productions  ,4.23m,1.46m,0.00m,0.83m,1.93m,17th Nov 04  
Assassin's Creed: Revelations    ,X360,Ubisoft  ,Ubisoft Montreal  ,4.22m,2.28m,1.47m,0.04m,0.44m,15th Nov 11  
Frogger    ,PS,Hasbro Interactive  ,Millenium Interactive  ,4.16m,3.79m,0.27m,N/A,0.11m,30th Sep 97  
Assassin's Creed: Unity    ,PS4,Ubisoft  ,Ubisoft Montreal  ,4.14m,1.25m,2.16m,0.09m,0.65m,11th Nov 14  
Batman: Arkham Knight    ,PS4,Warner Bros. Interactive  ,Rocksteady Studios  ,4.11m,1.65m,1.68m,0.11m,0.66m,23rd Jun 15  
God of War II    ,PS2,Sony Computer Entertainment  ,SCEA Santa Monica Studio  ,4.07m,2.32m,0.04m,0.04m,1.67m,13th Mar 07  
Assassin's Creed Origins    ,PS4,Ubisoft  ,Ubisoft Montreal  ,4.06m,1.22m,2.11m,0.11m,0.63m,27th Oct 17  
Far Cry 5    ,PS4,Ubisoft  ,Ubisoft  ,3.95m,1.44m,1.73m,0.15m,0.62m,27th Mar 18  
Resident Evil Director's Cut    ,PS,Capcom  ,Capcom  ,3.77m,1.82m,1.24m,0.47m,0.25m,01st Jan 97  
Harry Potter and the Sorcerer's Stone    ,PS,Electronic Arts  ,Argonaut Games  ,3.73m,1.37m,2.00m,0.14m,0.22m,15th Nov 01  
Resident Evil 3: Nemesis    ,PS,Capcom  ,Capcom  ,3.72m,1.30m,0.77m,1.54m,0.11m,11th Nov 99  
