title,link,platform,release_date,meta_score,user_score,developer,publisher,genre,esrb_rating
The Legend of Zelda: Ocarina of Time,/game/nintendo-64/the-legend-of-zelda-ocarina-of-time,Nintendo 64,23-Nov-98,99,9.1,Nintendo,Nintendo,"Action Adventure, Fantasy",E
Tony Hawk's Pro Skater 2,/game/playstation/tony-hawks-pro-skater-2,PlayStation,20-Sep-00,98,7.4,Neversoft Entertainment,Activision,"Sports, Alternative, Skateboarding",T
Grand Theft Auto IV,/game/playstation-3/grand-theft-auto-iv,PlayStation 3,29-Apr-08,98,7.6,Rockstar North,Rockstar Games,"Action Adventure, Modern, Modern, Open-World",M
SoulCalibur,/game/dreamcast/soulcalibur,Dreamcast,8-Sep-99,98,8.5,Namco,Namco,"Action, Fighting, 3D",T
Grand Theft Auto IV,/game/xbox-360/grand-theft-auto-iv,Xbox 360,29-Apr-08,98,7.9,Rockstar North,Rockstar Games,"Action Adventure, Modern, Modern, Open-World",M
Super Mario Galaxy,/game/wii/super-mario-galaxy,Wii,12-Nov-07,97,9,Nintendo,Nintendo,"Action, Platformer, Platformer, 3D, 3D",E
Super Mario Galaxy 2,/game/wii/super-mario-galaxy-2,Wii,23-May-10,97,9.1,Nintendo EAD Tokyo,Nintendo,"Action, Platformer, Platformer, 3D, 3D",E
Red Dead Redemption 2,/game/xbox-one/red-dead-redemption-2,Xbox One,26-Oct-18,97,7.8,Rockstar Games,Rockstar Games,"Action Adventure, Open-World",M
Grand Theft Auto V,/game/xbox-one/grand-theft-auto-v,Xbox One,18-Nov-14,97,7.8,Rockstar North,Rockstar Games,"Action Adventure, Modern, Open-World",M
Grand Theft Auto V,/game/playstation-3/grand-theft-auto-v,PlayStation 3,17-Sep-13,97,8.3,Rockstar North,Rockstar Games,"Modern, Action Adventure, Modern, Open-World",M
Grand Theft Auto V,/game/xbox-360/grand-theft-auto-v,Xbox 360,17-Sep-13,97,8.3,Rockstar North,Rockstar Games,"Modern, Action Adventure, Modern, Open-World",M
Tony Hawk's Pro Skater 2,/game/dreamcast/tony-hawks-pro-skater-2,Dreamcast,6-Nov-00,97,6.1,Treyarch,Activision,"Sports, Alternative, Skateboarding",T
The Legend of Zelda: Breath of the Wild,/game/switch/the-legend-of-zelda-breath-of-the-wild,Switch,3-Mar-17,97,8.6,Nintendo,Nintendo,"Action Adventure, Open-World",E10+
Tony Hawk's Pro Skater 3,/game/playstation-2/tony-hawks-pro-skater-3,PlayStation 2,28-Oct-01,97,7.6,Neversoft Entertainment,Activision,"Sports, Alternative, Skateboarding",T
