title,console,total_sale,na_sale,pal_sale,japan_sale,other_sale,platform
Wii Sports    ,Wii,82.65,41.36,29.02,3.77,8.51,Wii
Super Mario Bros.    ,NES,40.24,29.08,3.58,6.81,0.77,NES
Mario Kart Wii    ,Wii,35.98,15.91,12.92,3.80,3.35,Wii
Wii Sports Resort    ,Wii,32.90,15.61,10.99,3.29,3.02,Wii
Pokémon Red / Green / Blue Version    ,GB,31.37,11.27,8.89,10.22,1.00,Game Boy Advance
Tetris    ,GB,30.26,23.20,2.26,4.22,0.58,Game Boy Advance
New Super Mario Bros.    ,DS,29.85,11.28,9.19,6.50,2.89,DS
Wii Play    ,Wii,28.92,13.96,9.18,2.93,2.85,Wii
New Super Mario Bros. Wii    ,Wii,28.51,14.53,7.01,4.70,2.27,Wii
Duck Hunt    ,NES,28.31,26.93,0.63,0.28,0.47,NES
Nintendogs    ,DS,24.68,9.05,10.96,1.93,2.74,DS
Mario Kart DS    ,DS,23.26,9.71,7.51,4.13,1.91,DS
Pokémon Gold / Silver Version    ,GB,23.10,9.00,6.18,7.20,0.71,Game Boy Advance
Wii Fit    ,Wii,22.70,8.92,8.03,3.60,2.15,Wii
Kinect Adventures!    ,X360,22.10,15.09,4.97,0.24,1.81,Xbox 360
Wii Fit Plus    ,Wii,21.81,9.01,8.51,2.53,1.76,Wii
Grand Theft Auto: San Andreas    ,PS2,20.81,9.43,0.40,0.41,10.57,PlayStation 2
Super Mario World    ,SNES,20.61,12.78,3.75,3.54,0.55,SNES
Grand Theft Auto V    ,PS3,20.32,6.37,9.85,0.99,3.12,PlayStation 3
Brain Age: Train Your Brain in Minutes a Day    ,DS,20.16,4.74,9.21,4.16,2.04,DS
Grand Theft Auto V    ,PS4,19.39,6.06,9.71,0.60,3.02,PlayStation 4
Pokémon Diamond / Pearl Version    ,DS,18.25,6.38,4.47,6.04,1.36,DS
Super Mario Land    ,GB,18.14,10.83,2.71,4.18,0.42,Game Boy Advance
Super Mario Bros. 3    ,NES,17.28,9.54,3.44,3.84,0.46,NES
