title,publisher,developer,platform,total_sale,na_sale,pal_sale,japan_sale,other_sale
Wii Sports,Nintendo,Nintendo EAD,Wii,82.65,41.36,29.02,3.77,8.51
Super Mario Bros.,Nintendo,Nintendo EAD,NES,40.24,29.08,3.58,6.81,0.77
Mario Kart Wii,Nintendo,Nintendo EAD,Wii,35.98,15.91,12.92,3.80,3.35
Wii Sports Resort,Nintendo,Nintendo EAD,Wii,32.90,15.61,10.99,3.29,3.02
Pokémon Red / Green / Blue Version,Nintendo,Game Freak,GB,31.37,11.27,8.89,10.22,1.00
Tetris,Nintendo,Bullet Proof Software,GB,30.26,23.20,2.26,4.22,0.58
Tetris,Nintendo,Bullet Proof Software,NES,5.58,2.97,0.69,1.81,0.11
New Super Mario Bros.,Nintendo,Nintendo EAD,DS,29.85,11.28,9.19,6.50,2.89
Wii Play,Nintendo,Nintendo EAD,Wii,28.92,13.96,9.18,2.93,2.85
New Super Mario Bros. Wii,Nintendo,Nintendo EAD,Wii,28.51,14.53,7.01,4.70,2.27
Duck Hunt,Nintendo,Nintendo R&D1,NES,28.31,26.93,0.63,0.28,0.47
Nintendogs,Nintendo,Nintendo EAD,DS,24.68,9.05,10.96,1.93,2.74
Mario Kart DS,Nintendo,Nintendo EAD,DS,23.26,9.71,7.51,4.13,1.91
Pokémon Gold / Silver Version,Nintendo,Game Freak,GB,23.10,9.00,6.18,7.20,0.71
Wii Fit,Nintendo,Nintendo EAD,Wii,22.70,8.92,8.03,3.60,2.15
Kinect Adventures!,Microsoft Game Studios,Good Science Studio,Xbox 360,22.10,15.09,4.97,0.24,1.81
Wii Fit Plus,Nintendo,Nintendo EAD,Wii,21.81,9.01,8.51,2.53,1.76
Grand Theft Auto: San Andreas,Rockstar Games,Rockstar North,PlayStation 2,20.81,9.43,0.40,0.41,10.57
Super Mario World,Nintendo,Nintendo EAD,SNES,20.61,12.78,3.75,3.54,0.55
Grand Theft Auto V,Rockstar Games,Rockstar North,PlayStation 3,20.32,6.37,9.85,0.99,3.12
Grand Theft Auto V,Rockstar Games,Rockstar North,PlayStation 4,19.39,6.06,9.71,0.60,3.02
Grand Theft Auto V,Rockstar Games,Rockstar North,Xbox 360,15.86,9.06,5.33,0.06,1.42
Grand Theft Auto V,Rockstar Games,Rockstar North,Xbox One,8.72,4.70,3.25,0.01,0.76
Brain Age: Train Your Brain in Minutes a Day,Nintendo,Nintendo SDD,DS,20.16,4.74,9.21,4.16,2.04
Grand Theft Auto V,Rockstar Games,Rockstar North,PlayStation 3,20.32,6.37,9.85,0.99,3.12
Grand Theft Auto V,Rockstar Games,Rockstar North,PlayStation 4,19.39,6.06,9.71,0.60,3.02
Grand Theft Auto V,Rockstar Games,Rockstar North,Xbox 360,15.86,9.06,5.33,0.06,1.42
Grand Theft Auto V,Rockstar Games,Rockstar North,Xbox One,8.72,4.70,3.25,0.01,0.76
Pokémon Diamond / Pearl Version,Nintendo,Game Freak,DS,18.25,6.38,4.47,6.04,1.36
Super Mario Land,Nintendo,Nintendo R&D1,GB,18.14,10.83,2.71,4.18,0.42
Super Mario Bros. 3,Nintendo,Nintendo R&D2,NES,17.28,9.54,3.44,3.84,0.46
Grand Theft Auto: Vice City,Rockstar Games,Rockstar North,PlayStation 2,16.15,8.41,5.49,0.47,1.78
Pokémon X/Y,Nintendo,Game Freak,3DS,16.13,5.68,5.06,4.40,0.99
Grand Theft Auto V,Rockstar Games,Rockstar North,PlayStation 3,20.32,6.37,9.85,0.99,3.12
Grand Theft Auto V,Rockstar Games,Rockstar North,PlayStation 4,19.39,6.06,9.71,0.60,3.02
Grand Theft Auto V,Rockstar Games,Rockstar North,Xbox 360,15.86,9.06,5.33,0.06,1.42
Grand Theft Auto V,Rockstar Games,Rockstar North,Xbox One,8.72,4.70,3.25,0.01,0.76
Pokémon Ruby / Sapphire Version,Nintendo,Game Freak,Game Boy Advance,15.85,6.06,3.90,5.38,0.50
Mario Kart 7,Nintendo,Nintendo EAD / Retro Studios,3DS,15.49,6.03,5.35,3.00,1.11
Brain Age 2: More Training in Minutes a Day,Nintendo,Nintendo SDD,DS,15.29,3.43,5.36,5.32,1.18
Pokémon Black / White Version,Nintendo,Game Freak,DS,15.18,5.51,3.20,5.66,0.80
Pokémon Sun/Moon,Nintendo,Game Freak,3DS,15.17,6.02,4.34,3.82,0.99
Call of Duty: Black Ops 3,Activision,Treyarch,PlayStation 4,15.09,6.18,6.05,0.41,2.44
Call of Duty: Black Ops 3,Activision,Treyarch,Xbox One,7.37,4.63,2.04,0.02,0.68
