title,console,genre,release_date,publisher,developer,total_sale,na_sale,pal_sale,japan_sale,other_sale
Grand Theft Auto: San Andreas,PS2,action,26th Oct 04,Rockstar Games,Rockstar North,20.81,9.43,0.40,0.41,10.57
Grand Theft Auto V,PS3,action,17th Sep 13,Rockstar Games,Rockstar North,20.32,6.37,9.85,0.99,3.12
Grand Theft Auto V,PS4,action,18th Nov 14,Rockstar Games,Rockstar North,19.39,6.06,9.71,0.60,3.02
Grand Theft Auto: Vice City,PS2,action,28th Oct 02,Rockstar Games,Rockstar North,16.15,8.41,5.49,0.47,1.78
Grand Theft Auto V,X360,action,17th Sep 13,Rockstar Games,Rockstar North,15.86,9.06,5.33,0.06,1.42
Grand Theft Auto III,PS2,action,23rd Oct 01,Rockstar Games,DMA Design,13.10,6.99,4.51,0.30,1.30
Grand Theft Auto IV,X360,action,29th Apr 08,Rockstar Games,Rockstar North,11.09,6.80,3.11,0.14,1.04
Grand Theft Auto IV,PS3,action,29th Apr 08,Rockstar Games,Rockstar North,10.57,4.79,3.73,0.44,1.62
Uncharted 4: A Thief's End,PS4,action,10th May 16,Sony Interactive Entertainment,Naughty Dog,10.33,4.49,3.93,0.21,1.70
Grand Theft Auto V,XOne,action,18th Nov 14,Rockstar Games,Rockstar North,8.72,4.70,3.25,0.01,0.76
Grand Theft Auto: Liberty City Stories,PSP,action,25th Oct 05,Rockstar Games,Rockstar Leeds,7.72,2.90,2.83,0.24,1.74
Uncharted 3: Drake's Deception,PS3,action,01st Nov 11,Sony Computer Entertainment,Naughty Dog,6.84,2.77,2.81,0.19,1.06
Uncharted 2: Among Thieves,PS3,action,13th Oct 09,Sony Computer Entertainment,Naughty Dog,6.74,3.28,2.22,0.21,1.02
Red Dead Redemption,PS3,action,11th Oct 11,Rockstar Games,Rockstar San Diego,6.57,2.82,2.58,0.17,1.00
Red Dead Redemption,X360,action,18th May 10,Rockstar Games,Rockstar San Diego,6.50,3.77,2.03,0.09,0.60
Driver,PS,action,30th Jun 99,GT Interactive,Reflections Interactive,6.27,3.11,2.80,0.02,0.33
God of War (2018),PS4,action,20th Apr 18,Sony Interactive Entertainment,SIE Santa Monica Studio,6.15,2.83,2.17,0.13,1.02
Metal Gear Solid 2: Sons of Liberty,PS2,action,12th Nov 01,Konami,Konami Computer Entertainment Japan,6.05,2.45,2.01,0.87,0.72
Metal Gear Solid,PS,action,21st Oct 98,Konami,Konami Computer Entertainment Japan,6.03,3.18,1.83,0.78,0.24
Metal Gear Solid 4: Guns of the Patriots,PS3,action,12th Jun 08,Konami,Kojima Productions,6.00,2.63,1.72,0.83,0.81
Resident Evil 2,PS,action,21st Jan 98,Capcom,Capcom,5.82,1.88,1.47,2.02,0.45
Uncharted: The Nathan Drake Collection,PS4,action,07th Oct 15,Sony Computer Entertainment,Bluepoint Games,5.70,2.55,2.11,0.10,0.94
LEGO Star Wars: The Complete Saga,Wii,action,06th Nov 07,LucasArts,Traveller's Tales,5.66,3.57,1.57,NA,0.52
Assassin's Creed II,PS3,action,17th Nov 09,Ubisoft,Ubisoft Montreal,5.57,2.54,1.95,0.21,0.86
Assassin's Creed,X360,action,13th Nov 07,Ubisoft,Ubisoft Montreal,5.55,3.28,1.64,0.07,0.56
Batman: Arkham City,PS3,action,18th Oct 11,Warner Bros. Interactive,Rocksteady Studios,5.54,2.72,1.89,0.11,0.82
Assassin's Creed II,X360,action,17th Nov 09,Ubisoft,Ubisoft Montreal,5.30,3.14,1.55,0.08,0.52
Resident Evil 5,PS3,action,13th Mar 09,Capcom,Capcom,5.10,1.96,1.42,1.08,0.64
Grand Theft Auto: Vice City Stories,PSP,action,31st Oct 06,Rockstar Games,Rockstar Leeds,5.08,1.70,2.03,0.16,1.19
Resident Evil,PS,action,30th Mar 96,Capcom,Capcom,5.05,2.05,1.16,1.11,0.73
Uncharted: Drake's Fortune,PS3,action,16th Nov 07,Sony Computer Entertainment,Naughty Dog,4.97,2.32,1.73,0.12,0.80
Assassin's Creed,PS3,action,13th Nov 07,Ubisoft,Ubisoft Montreal,4.83,1.91,2.01,0.09,0.82
God of War III,PS3,action,16th Mar 10,Sony Computer Entertainment,SCEA Santa Monica Studio,4.81,2.74,1.36,0.12,0.60
LEGO Star Wars: The Complete Saga,DS,action,06th Nov 07,LucasArts,Traveller's Tales,4.77,2.83,1.49,NA,0.45
Batman: Arkham City,X360,action,18th Oct 11,Warner Bros. Interactive,Rocksteady Studios,4.75,2.99,1.28,0.04,0.44
Driver 2,PS,action,13th Nov 00,Atari,Reflections Interactive,4.73,2.36,2.10,0.02,0.25
Monster Hunter: World,PS4,action,26th Jan 18,Capcom,Capcom,4.67,1.03,1.06,2.17,0.42
The Lord of the Rings: The Two Towers,PS2,action,21st Oct 02,Electronic Arts,Stormfront Studios,4.67,1.94,1.95,0.08,0.70
Tomb Raider,PS,action,14th Nov 96,Eidos Interactive,Core Design Ltd.,4.63,2.29,1.97,0.13,0.24
Spider-Man: The Movie,PS2,action,15th Apr 02,Activision,Treyarch,4.48,2.71,1.51,0.03,0.23
God of War,PS2,action,22nd Mar 05,Sony Computer Entertainment,SCEA Santa Monica Studio,4.45,2.71,1.29,0.02,0.43
Batman: Arkham Asylum,PS3,action,25th Aug 09,Eidos Interactive,Rocksteady Studios,4.28,2.26,1.33,0.07,0.63
Assassin's Creed: Revelations,PS3,action,15th Nov 11,Ubisoft,Ubisoft Montreal,4.23,1.41,2.03,0.10,0.69
Metal Gear Solid 3: Snake Eater,PS2,action,17th Nov 04,Konami,KCEJ / Kojima Productions,4.23,1.46,0.00,0.83,1.93
Assassin's Creed: Revelations,X360,action,15th Nov 11,Ubisoft,Ubisoft Montreal,4.22,2.28,1.47,0.04,0.44
Frogger,PS,action,30th Sep 97,Hasbro Interactive,Millenium Interactive,4.16,3.79,0.27,NA,0.11
Assassin's Creed: Unity,PS4,action,11th Nov 14,Ubisoft,Ubisoft Montreal,4.14,1.25,2.16,0.09,0.65
Batman: Arkham Knight,PS4,action,23rd Jun 15,Warner Bros. Interactive,Rocksteady Studios,4.11,1.65,1.68,0.11,0.66
God of War II,PS2,action,13th Mar 07,Sony Computer Entertainment,SCEA Santa Monica Studio,4.07,2.32,0.04,0.04,1.67
Assassin's Creed Origins,PS4,action,27th Oct 17,Ubisoft,Ubisoft Montreal,4.06,1.22,2.11,0.11,0.63
Far Cry 5,PS4,action,27th Mar 18,Ubisoft,Ubisoft,3.95,1.44,1.73,0.15,0.62
Resident Evil Director's Cut,PS,action,01st Jan 97,Capcom,Capcom,3.77,1.82,1.24,0.47,0.25
