title,platform,release_date,meta_score,user_score,developer,publisher,genre,esrb_rating,total_sale,na_sale,pal_sale,japan_sale,other_sale
The Legend of Zelda: Ocarina of Time,Nintendo 64,"November 23, 1998",99,9.1,Nintendo,Nintendo,"Action Adventure, Fantasy",E,7.6,4.1,1.89,1.45,0.16
Tony Hawk's Pro Skater 2,PlayStation,"September 20, 2000",98,7.4,Neversoft Entertainment,Activision,"Sports, Alternative, Skateboarding",T,4.68,3.05,1.41,0.02,0.2
Grand Theft Auto IV,PlayStation 3,"April 29, 2008",98,7.6,Rockstar North,Rockstar Games,"Action Adventure, Modern, Modern, Open-World",M,10.57,4.79,3.73,0.44,1.62
SoulCalibur,Dreamcast,"September 8, 1999",98,8.5,Namco,Namco,"Action, Fighting, 3D",T,0.34,NA,NA,0.34,0
Grand Theft Auto IV,Xbox 360,"April 29, 2008",98,7.9,Rockstar North,Rockstar Games,"Action Adventure, Modern, Modern, Open-World",M,11.09,6.8,3.11,0.14,1.04
Super Mario Galaxy,Wii,"November 12, 2007",97,9,Nintendo,Nintendo,"Action, Platformer, Platformer, 3D, 3D",E,11.4,6.06,3.38,1.2,0.76
Super Mario Galaxy 2,Wii,"May 23, 2010",97,9.1,Nintendo EAD Tokyo,Nintendo,"Action, Platformer, Platformer, 3D, 3D",E,7.57,3.59,2.37,0.98,0.62
Red Dead Redemption 2,Xbox One,"October 26, 2018",97,7.8,Rockstar Games,Rockstar Games,"Action Adventure, Open-World",M,5.77,3.76,1.47,NA,0.54
Grand Theft Auto V,Xbox One,"November 18, 2014",97,7.8,Rockstar North,Rockstar Games,"Action Adventure, Modern, Open-World",M,8.72,4.7,3.25,0.01,0.76
Grand Theft Auto V,PlayStation 3,"September 17, 2013",97,8.3,Rockstar North,Rockstar Games,"Modern, Action Adventure, Modern, Open-World",M,20.32,6.37,9.85,0.99,3.12
Grand Theft Auto V,Xbox 360,"September 17, 2013",97,8.3,Rockstar North,Rockstar Games,"Modern, Action Adventure, Modern, Open-World",M,15.86,9.06,5.33,0.06,1.42
The Legend of Zelda: Breath of the Wild,Switch,"March 3, 2017",97,8.6,Nintendo,Nintendo,"Action Adventure, Open-World",E10+,9.46,4.54,2.94,1.26,0.73
Tony Hawk's Pro Skater 3,PlayStation 2,"October 28, 2001",97,7.6,Neversoft Entertainment,Activision,"Sports, Alternative, Skateboarding",T,4.41,2.66,1.29,0.01,0.46
Perfect Dark,Nintendo 64,"May 22, 2000",97,8.9,Rare Ltd.,Nintendo,"Action, Shooter, First-Person, Sci-Fi",M,2.52,1.55,0.75,0.16,0.06
Red Dead Redemption 2,PlayStation 4,"October 26, 2018",97,8.4,Rockstar Games,Rockstar Games,"Action Adventure, Open-World",M,13.94,5.26,6.21,0.21,2.26
Grand Theft Auto V,PlayStation 4,"November 18, 2014",97,8.4,Rockstar North,Rockstar Games,"Action Adventure, Modern, Open-World",M,19.39,6.06,9.71,0.6,3.02
Metroid Prime,GameCube,"November 17, 2002",97,9.2,Retro Studios,Nintendo,"Action, Shooter, First-Person, Sci-Fi",T,2.82,1.96,0.67,0.1,0.09
Grand Theft Auto III,PlayStation 2,"October 22, 2001",97,8.4,DMA Design,Rockstar Games,"Action Adventure, Modern",M,13.1,6.99,4.51,0.3,1.3
Super Mario Odyssey,Switch,"October 27, 2017",97,8.9,Nintendo,Nintendo,"Action, Platformer, 3D",E10+,11.71,5.1,3.75,2.02,0.84
Halo: Combat Evolved,Xbox,"November 14, 2001",97,8.5,Bungie Software,Microsoft Game Studios,"Action, Shooter, First-Person, Sci-Fi",M,6.43,4.98,1.3,0.08,0.07
NFL 2K1,Dreamcast,"September 7, 2000",97,6.4,Visual Concepts,Sega,"Sports, Traditional, Football, Sim",E,1.09,1.02,0.05,NA,0.02
The Legend of Zelda: Breath of the Wild,Wii U,"March 3, 2017",96,8.2,Nintendo,Nintendo,"Fantasy, Fantasy, Action Adventure, Open-World",E10+,1.34,0.66,0.42,0.15,0.11
BioShock,Xbox 360,"August 21, 2007",96,8.9,"Irrational Games, 2K Marin",2K Games,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",M,2.83,1.65,0.85,0.05,0.28
GoldenEye 007,Nintendo 64,"August 25, 1997",96,9,Rare Ltd.,Nintendo,"Action, Shooter, First-Person, Modern",T,8.09,5.8,2.01,0.13,0.15
Uncharted 2: Among Thieves,PlayStation 3,"October 13, 2009",96,8.8,Naughty Dog,SCEA,"Action Adventure, Modern, Modern, Linear",T,6.74,3.28,2.22,0.21,1.02
Resident Evil 4,GameCube,"January 11, 2005",96,9.2,Capcom,Capcom,"Action Adventure, Horror",M,1.69,0.98,0.42,0.22,0.06
The Orange Box,Xbox 360,"October 10, 2007",96,8.8,Valve Software,EA Games,"Action, Miscellaneous, Shooter, Compilation, First-Person, Sci-Fi",M,1.82,1.09,0.53,0.02,0.17
Batman: Arkham City,PlayStation 3,"October 18, 2011",96,8.8,Rocksteady Studios,Warner Bros. Interactive Entertainment,"Action Adventure, Fantasy, Fantasy, Open-World",T,5.54,2.72,1.89,0.11,0.82
Tekken 3,PlayStation,"April 29, 1998",96,9.1,Namco,Namco,"Action, Fighting, 3D",T,7.16,3.27,2.22,1.4,0.29
Mass Effect 2,Xbox 360,"January 26, 2010",96,8.9,BioWare,Electronic Arts,"Role-Playing, Action RPG, Action RPG",M,3.1,1.99,0.81,0.03,0.27
The Legend of Zelda: Twilight Princess,GameCube,"December 11, 2006",96,8.9,Nintendo,Nintendo,"Action Adventure, Fantasy",T,1.59,1.15,0.36,0.04,0.04
The Elder Scrolls V: Skyrim,Xbox 360,"November 11, 2011",96,8.6,Bethesda Game Studios,Bethesda Softworks,"Role-Playing, First-Person, First-Person, Western-Style",M,8.88,5.1,2.83,0.1,0.85
Resident Evil 4,PlayStation 2,"October 25, 2005",96,9,Capcom,Capcom,"Action Adventure, Horror",M,3.62,2.08,0.83,0.46,0.25
The Legend of Zelda: The Wind Waker,GameCube,"March 24, 2003",96,9,Nintendo,Nintendo,"Action Adventure, Fantasy",E,4.6,2.6,0.99,0.89,0.13
Gran Turismo,PlayStation,"April 30, 1998",96,8.7,Polyphony Digital,SCEA,"Driving, Racing, GT / Street",E,10.95,4.02,3.87,2.54,0.52
Metal Gear Solid 2: Sons of Liberty,PlayStation 2,"November 12, 2001",96,8.8,KCEJ,Konami,"Action Adventure, Modern",M,6.05,2.45,2.01,0.87,0.72
Grand Theft Auto: San Andreas,PlayStation 2,"October 26, 2004",95,9.1,Rockstar North,Rockstar Games,"Action Adventure, Modern",M,20.81,9.43,0.4,0.41,10.57
Grand Theft Auto: Vice City,PlayStation 2,"October 27, 2002",95,8.8,Rockstar North,Rockstar Games,"Action Adventure, Modern",M,16.15,8.41,5.49,0.47,1.78
LittleBigPlanet,PlayStation 3,"October 27, 2008",95,6.8,"SCE/WWS, Media Molecule",SCEA,"Action, Platformer, Platformer, 3D, 2D, 3D",E,5.85,2.8,2.01,0.17,0.87
Red Dead Redemption,PlayStation 3,"May 18, 2010",95,8.9,Rockstar San Diego,Rockstar Games,"Action, Shooter, Third-Person, Historic, Action Adventure, Historic, Historic, Open-World",M,6.57,2.82,2.58,0.17,1
Gran Turismo 3: A-Spec,PlayStation 2,"July 9, 2001",95,8.4,Polyphony Digital,SCEA,"Driving, Racing, GT / Street",E,14.98,6.85,5.09,1.87,1.16
